GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자,원천시도시군구코드
2005208489124209996000000000,4146310100105620003,4146310100,경기도 용인시 기흥구 신갈동,1,일반,562-3,1116178113,1,일반건축물,2,일반건축물대장,,B동,0,주건축물,0.000000000,116.850000000,116.850000000,0.000000000,0.000000000,31,일반철골구조,03000,제1종근린생활시설,03001,소매점,2,상업용,6.000000000,1,0,2005-06-16,2005-09-21,2026-07-10,41460
2005208503194210043500000000,4146310100105620003,4146310100,경기도 용인시 기흥구 신갈동,1,일반,562-3,1116178114,1,일반건축물,2,일반건축물대장,,A동,0,주건축물,0.000000000,116.720000000,194.560000000,0.000000000,0.000000000,31,일반철골구조,03000,제1종근린생활시설,03001,소매점,2,상업용,8.200000000,2,0,2005-06-16,2005-09-21,2026-07-10,41460
2005209498504185496800000000,4146310300101210007,4146310300,경기도 용인시 기흥구 상갈동,1,일반,121-7,1116178117,1,일반건축물,2,일반건축물대장,,2동,0,주건축물,0.000000000,17.000000000,17.000000000,0.000000000,0.000000000,32,경량철골구조,04000,제2종근린생활시설,04006,수리점,2,상업용,4.800000000,1,0,2005-08-29,2005-09-26,2026-07-10,41460
2005209492314185388700000000,4146310300101210007,4146310300,경기도 용인시 기흥구 상갈동,1,일반,121-7,1116178118,1,일반건축물,2,일반건축물대장,,1동,0,주건축물,0.000000000,115.870000000,115.870000000,0.000000000,0.000000000,32,경량철골구조,04000,제2종근린생활시설,04006,수리점,2,상업용,4.800000000,1,0,"",2005-06-29,2026-07-10,41460
2005212149024148150200000000,4146310600101050000,4146310600,경기도 용인시 기흥구 지곡동,1,일반,105,1116178119,1,일반건축물,2,일반건축물대장,지곡리 근생 신축공사,C동,0,주건축물,,161.500000000,161.500000000,,,31,일반철골구조,03000,제1종근린생활시설,03001,소매점,2,상업용,6.050000000,1,0,2004-05-24,2005-10-05,2026-07-10,41460
2005212185664147755800000000,4146310600101050000,4146310600,경기도 용인시 기흥구 지곡동,1,일반,105,1116178120,1,일반건축물,2,일반건축물대장,,B동,0,주건축물,,202.050000000,202.050000000,,,31,일반철골구조,03000,제1종근린생활시설,03001,소매점,2,상업용,6.050000000,1,0,2004-05-24,2005-10-05,2026-07-10,41460
2005212188394147967100000000,4146310600101050000,4146310600,경기도 용인시 기흥구 지곡동,1,일반,105,1116178121,1,일반건축물,2,일반건축물대장,,A동,0,주건축물,,195.000000000,195.000000000,,,31,일반철골구조,03000,제1종근린생활시설,03001,소매점,2,상업용,6.050000000,1,0,2004-05-24,2005-10-05,2026-07-10,41460
2005210276124149182100000000,4146310700101550006,4146310700,경기도 용인시 기흥구 공세동,1,일반,155-6,1116178122,1,일반건축물,2,일반건축물대장,원당산업공장,3동,0,주건축물,0.000000000,300.000000000,300.000000000,0.000000000,0.000000000,31,일반철골구조,17000,공장,17999,기타공장,4,공업용,5.800000000,1,0,2004-08-03,2005-09-22,2026-07-10,41460
2005210387614149018100000000,4146310700101550006,4146310700,경기도 용인시 기흥구 공세동,1,일반,155-6,1116178123,1,일반건축물,2,일반건축물대장,원당산업공장,2동,0,주건축물,0.000000000,676.000000000,676.000000000,0.000000000,0.000000000,31,일반철골구조,17000,공장,17100,일반공장,4,공업용,7.200000000,1,0,2004-08-03,2005-09-22,2026-07-10,41460
1988214730664223190000000000,4146311400100800002,4146311400,경기도 용인시 기흥구 청덕동,1,일반,80-2,1116178129,1,일반건축물,2,일반건축물대장,골프장 클럽하우스,,0,주건축물,,2646.830000000,6659.400000000,,,21,철근콘크리트구조,13000,운동시설,13999,기타운동시설,6,문교사회용,14.450000000,3,1,1986-08-04,1988-04-27,2026-07-10,41460
2005211478054133239200000000,4146310800101440000,4146310800,경기도 용인시 기흥구 고매동,1,일반,144,1116178131,1,일반건축물,2,일반건축물대장,고매리k창고,가동,0,주건축물,0.000000000,236.700000000,236.700000000,0.000000000,0.000000000,33,강파이프구조,18000,창고시설,18001,창고,7,기
